content,mid,like
以前的外婆家对应现在的金牌外婆家，杭州万象城就有一家金牌外婆家，都是现做的不是中央厨房运过来的，味道也不错，可以去试试[脱单doge],430206,1
浙江人，小时候外婆家菜单有一本，里面东西很多，天天排队。那个时候外婆家的优势就是中央厨房配送，但是后厨还是有厨师在做的。后来大学了去外婆家，我和我的一个杭州同学俩人都震惊了[辣眼睛],2807193,1
一个总不做饭的人突然让自己做一大桌子菜，好吃不到哪里去的概率99%,634656210,5
"外婆家新白鹿的出现导致我对杭州菜的认知一直是便宜但难吃..外婆家属于我学生时代也消费的起的店了..
然后后面还吃过2家忘了名字的“杭州开来的网红店”，走的也是相对便宜人均100出头但是拍照很好看的路子
现在还有个排队一直很长的桂满陇貌似也是这路子，但懒的去试了，对杭州菜的刻板印象改不掉了...",44352586,1
哈哈哈，看开头就知道是外婆家了，外婆家的红烧肉是我吃过最离谱的，上次和朋友点了一次，就动了一筷子，直接要求退菜，然后这家店就上了我的黑名单，我不会再去第二次了,9921932,1
[星星眼],77323999,2
问一下，点到20是只有新白鹿，没有做一桌菜了吗？如果是的话，那我就取消点赞了,26289683,1
[doge]外婆家的厨师是不是必须当了外婆,1764661,3
"这期点赞是我见过涨的最快的[doge]
09年去上海，朋友带我去的第一家就是外婆家，确实要排队，味道忘记了[doge]",1682018,1
楼外楼是我去杭州第一顿，然后是外婆家，这个吃饭的先后顺序让我当时对外婆家留下很美好的印象，直到广州开了分店我再去吃，一脸懵逼为何当时觉得好吃，让我再吃一顿楼外楼体验一下外婆家的美好吧。。,439258126,1
你们没吃过。最好吃的绿茶是在灵隐路31时候。现在的绿茶已经被收购了。我记得那时候在绿茶啃玉米喝啤酒超级赞。,4243030,0
15W去亲自下厨，20W去白鹿家约会，这期的性价比太太太高了吧！[打call],10918462,2
一边说中华美食天下第一，看不起米其林和西餐，一边又在狂推预制菜，这也太矛盾了，中餐就好吃在现做啊，毕竟是讲火候的东西。预制菜会不会像电动汽车一样势不可挡啊，难受,9471734,1
外婆家要会吃，两年前天天都吃，一份麻婆豆腐肉末巨多才3块，米饭2块，一顿下来就5块[呲牙],17399342,2
看价格的话，这个预制菜感觉也对得起餐厅了，被骂感觉是大家现在对预制菜很抵制，因为很多外卖是预制菜，近两年很...,2542761,0
点赞到20w王师傅去吃新白鹿，突然因为他不想去而更想点赞了hh,82127232,2
我以前吃过，感觉还不错，毕竟不是我买单的,518042,1
小时候很喜欢外婆家的青豆泥和有个大鱼小鱼鸡爪年糕一起红烧的菜[初音未来_大笑]现在好像都没看到了？,23079043,2
现在对于预制菜没有一点好感，，如果是在三线小城市，外卖点到了预制菜，，下次就再也不点了，顺便给个5星好评，满满工业风。啊 ，先说明的一点，我这里吐槽的预制菜说的是直接水煮加热就能吃的那种。最后，目前给我自身的感觉就是劣币驱逐量币。,22056643,1
上海不是有老乡鸡么[doge]王师傅可以去试试,2943682,2
"""那我们下次去吃新白鹿好吗""[给心心][给心心][给心心]",7872997,3
我遇到好多外地的一说起江浙菜就说去外婆家，但我真的觉得他家不行……甚至不如村里专门做红白事一条龙的师傅烧的好吃[捂脸],2865866,1
"快来人啊，来点赞看热闹啊[星星眼]

毛毛快去看桌子，宴席包间那种大桌子[doge]",312821411,2
外婆家，新白鹿这种的主要不是便宜吗？[疑惑]味道本来就一般,28160020,3
这简单的一桌，我相信王师傅一定行[doge][doge][脱单doge],12998737,2
2010年上海世博会顺便去杭州玩的时候去西湖边吃的外婆家，那个时候第一次感受排队的店就是这个。味道真是不错，前年在成都吃了第二次。就。。很一般了,614173,1
希望是节目效果，不然结婚这么多年老婆连你做的红烧肉什么味道都不知道就有点夸张了。,25748961,0
我在我们小城吃过一回盖浇饭，明显是料理包，既不便宜，也不好吃，份量还小，这明显作死的行为，后来我是再没去过，估计那家店很快就倒闭了。我觉得我们这种小地方，还没“进化”到需要预制菜甚至料理包的程度,3.49308E+15,0
预制菜无所谓啊，麦当劳肯德基也是预制菜，但问题是，麦当劳肯德基之流都是洋快餐，只要便宜干净方便我就能接。中餐现在的预制菜，是既不便宜又不方便，还不知道干不干净。,10852664,0
其实王师傅在上海有很大的连锁店，名曰——张鼎鸡[doge],4183040,3
我只能说，我丽水银泰新开，开了家外婆家，跟我十年前杭州读书时吃的外婆家，不是一个感觉了。我还记得当时3块钱的麻婆豆腐和糖醋排骨，招牌菜茶香鸡和红烧肉。现在3块钱特价菜也没了，红烧肉茶香鸡都不如当初好吃了，以前根本不需要配馒头夹的,8129637,0
